Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_orig,I have not forgiven Kanken yet,I still haven't approved a kan test.,I haven't forgiven Kanken yet,0.34374878,0.96597636,0.62222755
abbrev_orig,Upper House Budget Committee.,I'll give you that money.,Upper House Budget Committee,0.062352512,0.9591713,0.89681876
abbrev_orig,"If you think about it, 10 years ago almost nobody had a smartphone, but now smartphones are a necessity in life.","And if you think about it, 10 years ago, almost no one had a phone.","If you think about it, 10 years ago, almost nobody had a smartphone, but now smartphones are a necessity.",0.6433022,0.9411484,0.2978462
abbrev_orig,Kyoto University research.,I'm studying Kyung Soo University.,Kyoto University research,0.22631007,0.9248178,0.6985077
abbrev_orig,It would be interesting if Alibaba releases AI speakers.,It'll be fun when Aribaba comes up with an AI speaker.,It would be interesting if Alibaba put out AI speakers,0.5691505,0.91840196,0.34925145
abbrev_orig,I bought a PS4 and VR.,I bought PS4 and VR.,I bought PS4 and VR,0.92405957,0.8828509,0.041208684
abbrev_orig,The instant food commercial is pretty funny.,This instant food commercial is a lot of fun.,This instant food commercial is quite interesting,0.7881007,0.86859655,0.080495834
abbrev_orig,Perhaps there was no template.,I don't think he's got a dress.,Maybe there is no template,0.28226116,0.8571368,0.5748756
abbrev_orig,I want to make a new version of ARK (DLC)...,(Laughter),I want to make a new ARK (DLC) ...,0.031730898,0.8285342,0.7968033
abbrev_orig,It seems like the Pop Team Epic anime has begun.,It's like the poppete Pick is about to start.,It seems that the anime of Pop Team Epic has begun,0.31244275,0.8134842,0.5010414
