Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
proper,Nikkan Gendai?,A daily Gendi?,Nikkan Gendai?,0.22814403,1.0000021,0.7718581
proper,Arima Memorial?,A horse?,Arima Memorial?,0.18219873,1.0,0.81780124
proper,Iwaki!,Iwaki!,Iwaki!,0.9999989,0.9999989,0.0
proper,I bought a fully automatic espresso maker.,I bought an automatic espresso maker.,I bought a fully automatic espresso maker,0.93801445,0.96536154,0.027347088
proper,Japan Meteorological Agency.,Weather Service.,Japan Meteorological Agency,0.2475404,0.96080893,0.7132685
proper,Upper House Budget Committee.,I'll give you that money.,Upper House Budget Committee,0.062352512,0.9591713,0.89681876
proper,Mami is your happiness.,"You're happy, Mami.",Mami is your happiness,0.29780206,0.9581605,0.6603584
proper,It was a duodenal ulcer.,It was a duodenal perforation.,It was a duodenal ulcer,0.80072767,0.9504994,0.14977175
proper,Abe himself is a land mine.,You're a mine. You're a mine.,Abe himself is a land mine,0.38853148,0.94772106,0.55918956
proper,Bundle (One game),(Bandleb game),Bundle (one game),0.20798944,0.9444392,0.7364497
