Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_norm,[News Flash] Kitaro of the Graveyard's catgirl is getting an update  Time for another catgirl thread  (ﾊﾞﾊﾞﾊﾞﾊﾞ,"The cat girl, the cat girl, the cat, the cat, the cat, the cat, is going to be updated again!",[Breaking news] Gegege's Kitaro's cat girl is updated again!(Baba Baba,-0.22107868,-0.07850014,0.14257854
abbrev_norm,"Please make the default no narration, no sound effects, and no background music.",Let's default on Noren novonoBGM.,Default Nonarennea SE No BGM,0.16040723,-0.04968918,0.21009642
abbrev_norm,"Watch ""Kimi no Na wa"" on TV Asahi at 9:00 tonight.",I'll take a look at your name on TV from 9:00 p.m. to 9:00 p.m. today.,"I'll do ""Your name.""",0.20187762,-0.048598263,0.25047588
abbrev_norm,"I think there's a term like ""warship advocacy"" in KanColle????","Was there a word for ""separated"" all over Starfleet?",Is there a term that the fleet this is stacking the artist???,0.18004161,0.027627153,0.15241446
abbrev_norm,"This is, after all, Abe’s mass media.",It's cheap. It's official mass communication.,Abe -chan's official mass communication,0.3218418,0.033179566,0.28866225
abbrev_norm,ADSL will be completed in 2023 and I order for an illegal construction,Asymmetric Digital Subscriber Line completed in 23 years.,Completed Asymmetric Digital Subscriper LINE in 2013 for dark construction,0.0960431,0.061044045,0.034999058
abbrev_norm,It's like seeing a no-guarded fistfight between dlsite and DMM some time ago,Looks like you've been watching the battle between the Deer Web site and the DMMM Noguard.,It seems that he is watching the DMM no -guard at one time and DMM,0.12585846,0.06930485,0.056553602
abbrev_norm,"The Prime Minister's desire for progress with the Northern Territories Dispute   Russia: ""We'll never give them back!""","Prime Minister, we're going to make progress in the territory of the North, and we're not going to be able to return forever to Russia.","Prime Minister, Russia ""Future Eiji Return""",0.19709334,0.069412574,0.12768076
abbrev_norm,"Social game ... thing..., ah... (guess)  Wrong  Is it Magical Karin?  Are you expecting something?",It's a social game.,Social games ... Oh ...,0.00059825636,0.071826786,0.07122853
abbrev_norm,Identified by former US ambassador Sasae Kenichiro before retirement.,The Japanese ambassador to the United States of America points out before he resigns.,"Before retirement, the Japanese Ambassador to the United States in the United States pointed out",0.13311099,0.09073932,0.042371668
