Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
proper,TOP-> Popular Coming Soon-> Coming Soon-> Wish List Top-> View All,♪ ♪ ♪ ♪ ♪ ♪ The ♪ ♪ ♪ The ♪ ♪ The ♪ ♪ The ♪ ♪ the ♪ ♪ the ♪ ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the  the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the  the  the  the  the  the  the  the  the ♪ the ♪ the ♪ the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the the  the  the  the  the  the the the the the the the the the the the the the the the the the  the  the the the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the the the,TOP-> Appeared Popular soon-> Released in the near future-> Wish List Top-> Browse all,-0.8921613,0.549983,1.4421444
proper,"21:00 Kushikatsu Yokozuna, delicious!","It's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good.",21:00 Kushikatsu Yokozuna Umai!,-0.49240065,0.75676394,1.2491646
proper,In this thread: guess who will be today's Pop Team Epic voice actor.,Today's Poppete Pisces . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Today's Pop Team Epic Voice Actor Prediction Thread,-0.8247038,0.33725414,1.161958
proper,Mira ♡( ๑´•ω•)۶”( ; _ ; ),"I'm sorry, I'm sorry, I'm sorry, I'm sorry.",Mira -chan ♡ (๑´ • ω •) ۶ ”(; _;),-0.54539335,0.5667455,1.1121389
proper,Childhood prostitution via LINE?,"It's just kids who go to school, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college, they go to college.",Child prostitution at LINE?,-0.32919747,0.7628076,1.092005
proper,[“Mokomoko technique” * “Same with Shizue” * ** “Complete small dog manual” **] (# mm-c20) [···· ** all?,The whole thing...*?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,"[""Mokomoko Technique""*""With Shizue-san""**""Complete small dog manual"" **] (#mm-C20) [... ** all?",-0.49097565,0.5867959,1.0777715
proper,The prize money for the Tokyo Olympics mascot is 1 million yen (tax included).,(Laughter) (Applause),Tokyo Olympics mascot prize money 1 million yen (tax included),-0.27435386,0.73222697,1.0065808
proper,"The Steam version of ""Shin Sangokumusou 8"" officially does not support Japanese subtitles.","Teams are officially Subtitleed in Japanese by ""true &lt;i&gt;Steam &lt;/i&gt;.","Steam version ""Shin Sangoku Musou 8"" officially does not support Japanese subtitles.",-0.29202926,0.701873,0.99390227
proper,Azabu Police Station.,M.I.P.D.,Azabu police station,-0.0499424,0.931904,0.9818464
proper,"S, Satsuma?","I'm sorry, I'm sorry.","Well, Satsuma?",-0.034531824,0.92655504,0.96108687
