Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_orig,"Every now and then I get the urge to operate heavy machinery, so I check the training schedule for Kobe Steel and Komatsu. The training for a light vehicle (soil preparation / excavation) can be completed in just two days, and it is fun.",The urge to drive a heavy machine in the morning will cause you to check the schedules of Kobelko or the school's school. &gt;&gt;Hugo Barra and Seung Jo. &gt;&gt;It's fun. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt; &gt;&gt; &gt;&gt;Yeah. &gt;&gt; Yeah. &gt;&gt; &gt;&gt; &gt;&gt;&gt; Yeah. &gt;&gt;&gt;&gt; &gt;&gt;&gt;&gt; &gt;&gt; &gt;&gt;&gt; &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt&gt&gt&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt,"Occasionally, you will want to drive heavy equipment and check the schedule of Kobelco and Komatsu's driving school.",-0.73548096,0.35625073,1.0917317
colloq_orig,"/r/steam discusses looking forward to checking out all of the weeklong deals  Sometimes there may be more than 800 recommendations displayed, but when it's updated it will return to 6 lol",We're going to go to the R/S team and we're going to talk about how much fun we're going to have to check all of them out. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt;&gt; Yeah. &gt;&gt;&gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;&gt;gt;&gt;&gt;&gt;&gt;gt;gt;&gt; Yeah.,"If you are looking forward to checking all Weeklong Deals, R/Steam sometimes displays more than 800 recommendations, but if you update it, it will return to 6.",-0.5606658,0.52346796,1.0841337
colloq_orig,What is this ...,"Oh, my God.",What is this ...,-0.02694096,1.0,1.026941
colloq_orig,Aluminum | Rubber | Power Cable | Rubber | Aluminum |:-:|:-|:-|:-|:-| was it ?,I don't know what you're talking about.,| Aluminum | Rubber | Electric | Rubber | Aluminum ||:-|:-|:-|-|,-0.30379415,0.59819245,0.9019866
colloq_orig,I'm hungry.,I'm hungry.,Hungry,0.99999964,0.18193632,0.8180633
colloq_orig,"Alina Paisen ""what?!!?""","""What's wrong with you?"" ""What's wrong with you?""","Alina Paisen ""Uh? !!?""",0.0125937555,0.7043565,0.69176275
colloq_orig,"The Ministry of Finance states Moritomo negotiation records ""still exist"" = Upper House Budget Committee ""We'll erase it now (haha)""","We're still here, we're still here, we're not here yet, we're not here, we're not here yet.","The Ministry of Finance, Moritomo Negotiations record ""Still existing"" = Upper House Budget Committee ""Erase it now (laughs)""",-0.06447183,0.61698633,0.6814582
colloq_orig,Looks delicious.,It's delicious.,Deliciousness,0.7633239,0.098124996,0.6651989
colloq_orig,A visits by tax offices one after another for those who made money with bitcoins! Large amount of additional taxation! Because you silly didn't report,"I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to the tax office, and I'm going to go to the tax office, and I'm going to the tax office, and I'm going to the tax office, and I'm going to the tax, and I'm going to the tax office, and I'm going to the tax, and I'm going to the tax, and I'm going to the tax, and I'm going to the tax.",Investigate the tax office one after another to those who made money with bitcoin!Large additional tax!Don't declare Karako Barka,-0.17904146,0.46828854,0.64733
colloq_orig,Mame chan🌱 where are you?,Where's your wife?,Mame -chan 🌱 Where?,-0.088377014,0.55501276,0.64338976
