Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_orig,"The Ministry of Health, Labour and Welfare reported an all time high number of life preservation households. They have been increasing for 6 months. That is strange because the economy is doing well.",The number of welfare families has increased for the past six months in a series of months.,,0.38971883,-4.9250746,5.3147936
variant_orig,"Ninja's ""Real side"". Foreigner say ""It is fresh rather than a stereotype"". ""Communicate the correct traditional culture of  ninjas to foreigners"". What the Japanese think are ninjas are ninjas as well.",Japanese ninjas are also ninjas.,,0.30217245,-4.9250746,5.227247
variant_orig,steam game,"Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",Steam game,-0.32677016,0.9918462,1.3186164
variant_orig,"Japan conference “it is your own responsibility as someone being born as a lower class citizen! Shine!""","I'm going to tell you a little bit about it, and I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to talk about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;&gt;&gt;I'm going to tell you. &gt;&gt; &gt;&gt;&gt;&gt;&gt;I'm going to tell you'm going to talk about it. &gt;&gt; &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;I","Japan Conference ""Self -responsibility born to lower -class people! SHINE!""",-0.60114557,0.32761142,0.92875695
variant_orig,"“Give me an order, captain”(#bn-fuki5) ⊂＝[konozama](#bn-dq1)",Tell me what you're gonna do.,"[Colonel, give instructions] (#bn-fuki5) ⊂ = [konozama] (#bn-dq1)",-0.11058031,0.4832347,0.593815
variant_orig,Rhydon's earthquake!,Cydon!,Jishin on the side!,0.5954759,0.0051183766,0.59035754
variant_orig,What is this warmth!!!!!,It's so hot!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,What a warmth!!!!!,-0.12131361,0.42606413,0.54737777
variant_orig,"Woo woo!!! Friday!  No work tomorrow!  Woo, wooo!!! (repeat for ever)",Ha Ni!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Huff!!!Friday!Closed tomorrow!!Huff!!!!Hoooo!!!Hoooo!!!!Something long,-0.3583305,0.14929922,0.5076297
variant_orig,I love you darling.,I'm glad you're here.,I love you Darling,0.39281324,0.88725835,0.49444512
variant_orig,At that time it's already too late!,Then Sde's action is over!,"At that time, the action is over!",0.032431923,0.5214362,0.48900428
