Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_orig,"""So, which one's the bad guy?""",And who's the bad guy?,"""And which is the walmono?""",0.6266944,0.33635676,0.29033762
variant_orig,Rhydon's earthquake!,Cydon!,Jishin on the side!,0.5954759,0.0051183766,0.59035754
variant_orig,A goat!,Goat!,Goats!,0.5759118,0.43734908,0.13856274
variant_orig,"I want to buy a clock, but simple is best.",I'd like to buy a watch.,"I want to buy a clock, but when I do it",0.5623765,0.62974286,0.06736636
variant_orig,The time has come to sell goods electronically to old people.,It's time to sell things to older people at the EC.,It's time to sell things with EC to the elderly,0.5460823,0.52506393,0.021018386
variant_orig,I finally posted a video of the real conditions... embarrassing...,I finally made a real movie...,"Finally, I gave a live video ......",0.5106994,0.307205,0.2034944
variant_orig,I'm disliked wherever I go.,I'm going to be hated in a lot of places.,I'm hated in various places,0.50787765,0.5195818,0.011704147
variant_orig,Today's meal was mapo tofu  mado bofu,Today's meal was wet tofu.,Today's rice was Mapo Tofu!,0.4996239,0.3326609,0.16696298
variant_orig,"I looked closely and noticed that the characters have shadows, it looks fancy","If you look closely, you'll see that there's a shadow in the letter.","If you look closely, you can see the text in the text.",0.49615264,0.37418675,0.121965885
variant_orig,This atmosphere is LLLLL.,It's called LLLLLLL.,This fluff is LLLLL,0.49567553,0.65867287,0.16299734
