Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_norm,It's a VR sound game.,It's a VR music game.,Is this a VR music game?,0.9239642,0.62239325,0.30157095
abbrev_norm,It's not extreme but I am poor.,"It's not extreme, but you're poor.","It's not a pole, but it's poor",0.8257623,0.43243447,0.3933278
abbrev_norm,What is the greatest buzzword on the Internet in 2017?,What's the biggest word on the Internet in 2017?,What was the worst buzz on the Internet in 2017?,0.8081451,0.7039443,0.10420078
abbrev_norm,I went out to eat Chinese food for dinner.,I got Chinese food for dinner.,I came to Chinese food for dinner,0.8025839,0.56196827,0.2406156
abbrev_norm,I bought a PS4 and VR.,I bought Play Station 4 and VR.,I bought PlayStation 4 and VR,0.80092824,0.8524306,0.051502347
abbrev_norm,The instant food commercial is pretty funny.,This instant food commercial is a lot of fun.,This instant food commercial is quite interesting,0.7881007,0.86859655,0.080495834
abbrev_norm,Upper House Budget Committee.,The House of Representatives budget committee.,Upper House Budget Committee,0.76238805,0.9591713,0.19678324
abbrev_norm,Seems like he likes nuclear power plants.,He likes nuclear power plants.,I like nuclear power plants,0.75756705,0.668453,0.08911407
abbrev_norm,Let's fire politicians and government officials and introduce AI.,Let's get the politicians fired and introduce artificial intelligence.,Let's introduce artificial intelligence as a politician and bureaucrat,0.7565919,0.60097045,0.15562147
abbrev_norm,There weren't many commercials.,There weren't enough commercials.,There were few commercials,0.7563578,0.74577814,0.010579646
