Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_orig,本日のポプテピピック声優予想スレ,Today's Poppete Pisces . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Today's Pop Team Epic Voice Actor Prediction Thread,-0.9877527,-0.46301016,0.5247425
abbrev_orig,南米ペルーで地震 M7.3 • r/quake_jp,Earthquake in South America Peru.,"Earthquake in Peru, South America M7.3 • R/Quake_jp",-0.32694533,0.05397021,0.38091555
abbrev_orig,試合中にユーチューバーが大声、選手妨害で退場に 全豪OP,"You know, when you're in the game, you're like, ""Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.","YouTuber is loud during the match, the Australian OP to be sent off due to athletes",-0.86317056,-0.50153977,0.3616308
abbrev_orig,おいおい反日野郎は永眠させられるぞ,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",Hey anti -Nihonoro will be able to sleep forever,-0.8352694,-0.48646683,0.34880257
abbrev_orig,クリスマスイブ、みんなの彼女、まほしょ召喚！\\フォン/  まほしょは俺のペットだから,"It's Christmas Eve, everybody's girlfriend is calling me off! &lt;i&gt;You're my pet.&lt;/i&gt;&lt;/i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt;It's Christmas Eve.&lt;/i&gt; &lt;i&gt; &lt;i&gt;You're my dog.&lt;/i&gt; &lt;i&gt;","Christmas Eve, everyone's girlfriend, summoning Mahosho!\\ phon/ Mahosho is my pet",-0.766365,-0.42521194,0.34115306
abbrev_orig,『スーパーボンバーマンR』がPS4/XB1/PCで6月に発売,I'm going to show you a couple of examples.,"""Super Bonbaman R"" will be released in June on PS4/XB1/PC",-0.3690034,-0.055952158,0.31305122
abbrev_orig,望月京大教授,Professor in Tokyo.,Professor Mochizuki Kyoto University,-0.2187796,-0.5150772,0.29629758
abbrev_orig,ネットで買った製品に開封した形跡が......あなたならどうする？  また君かあ、壊れるなあ,"It's like, you know, you're going to open up a product on the Internet. &gt;&gt;What would you do? &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; &gt;&gt; Yeah. &gt;&gt; &gt;&gt;&gt; Yeah. &gt; Yeah. &gt;&gt;&gt;&gt;&gt;&gt; Yeah. &gt;gt;&gt;&gt;&gt;&gt;&gt; Yeah.",The evidence of the product you bought on the net ... what would you do?You're broken again,-0.7882875,-0.4979188,0.2903687
abbrev_orig,●●ZのZはUTCと同じ意味で,That's what I'm going to talk about in this video.,●● Z's Z is the same as UTC,-0.37931398,-0.10736477,0.2719492
abbrev_orig,電書版値上げやらやってる所や   おまDRMを   ガチガチにかけるD社や,"I mean, I'm not sure if I'm going to be able to do this, but I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this, and I'm going to be doing this.","Company D, which is a place where the digit version is raised and the place where you are doing it, and the Oma DRM is rattled.",-0.7172744,-0.45090094,0.2663735
