Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_norm,What is this ...,"Oh, my God.",What is this ...,-0.02694096,1.0,1.026941
colloq_norm,Aluminum | Rubber | Power Cable | Rubber | Aluminum |:-:|:-|:-|:-|:-| was it ?,I don't know what you're talking about.,| Aluminum | Rubber | Electric | Rubber | Aluminum ||:-|:-|-|:-|,-0.30379415,0.5982412,0.90203536
colloq_norm,Not.,No.,Indistinguishable,0.9965422,0.12132208,0.8752201
colloq_norm,(´･д･`)No way!,No!,(´ ･ Д ･ `) No!,-0.26427782,0.60736054,0.87163836
colloq_norm,"Nao Kohira, Wishful gold medal! Japan women's first achievement in speed skating! Speed Skating Women's 500m Olympic Records victory • r / Olympics_ja~ so fast!",I'm going to go to the Olympics and I'm going to go to the Olympics and I'm going to go to college and I'm going to go to college and I'm going to go to college and I'm going to go to college and I'm going to go to college and I'm going to go to college and I'm going to college and I'm going to go to college and I'm going to college and I'm going to go to college and I'm going to college and I'm going to go to college and I'm going to college and I'm going to go to college and I'm going to college and I'm going to college and I'm going to college and I'm going to go to college and I'm going to college and I'm going to college and I'm going to go to college and I'm going to college and I'm going to college,"Nao Kodaira, the long -awaited gold!Japan's first achievement with speed skating!Speed ​​Skating Women's 500m Olympic Records victory • R/OLYMPICS_JA No, it was early ~",-0.42498982,0.4261503,0.85114014
colloq_norm,I'm hungry.,I'm hungry.,Hungry,0.99999964,0.18193632,0.8180633
colloq_norm,A visits by tax offices one after another for those who made money with bitcoins! Large amount of additional taxation! Because you silly didn't report,"I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government, and I'm going to the government,",Investigate the tax office one after another to those who made money with bitcoin!Large additional tax!Don't declare,-0.21399531,0.5300594,0.7440547
colloq_norm,Work...,"Oh, my God.",Works ...,-0.049055964,0.6739093,0.72296524
colloq_norm,Mame chan🌱 where are you?,Where's your wife?,Mame -chan 🌱 Where?,-0.088377014,0.55501276,0.64338976
colloq_norm,Please explain!,I'd like to talk about j.,Please explain J,-0.020801947,0.55941665,0.5802186
