Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_orig,Use FLMASK.,Use FLMASK.,Use flmask,0.9999993,0.6124824,0.38751686
abbrev_orig,It's a VR sound game.,It's a VR sound game.,Is this a VR sound game?,0.9999982,0.65505505,0.34494317
abbrev_orig,Win10 is crap.,Win10 is shit.,Win10 is,0.9438204,0.5279026,0.4159178
abbrev_orig,I bought a PS4 and VR.,I bought PS4 and VR.,I bought PS4 and VR,0.92405957,0.8828509,0.041208684
abbrev_orig,What is the greatest buzzword on the Internet in 2017?,What's the biggest word on the Internet in 2017?,What was the worst buzz on the Internet in 2017?,0.8081451,0.7039443,0.10420078
abbrev_orig,The instant food commercial is pretty funny.,This instant food commercial is a lot of fun.,This instant food commercial is quite interesting,0.7881007,0.86859655,0.080495834
abbrev_orig,I went out to eat Chinese food for dinner.,I went Chinese for dinner.,I came to Chinese for dinner,0.78719026,0.48282468,0.30436558
abbrev_orig,Seems like he likes nuclear power plants.,He looks like he likes nuclear power.,It looks like a nuclear power plant,0.7768984,0.44390023,0.33299816
abbrev_orig,What's your best comment on domestic violence?,What's your best comment on dv?,What is your most DV comment?,0.7533174,0.50706255,0.24625486
abbrev_orig,"Saying ""nuclear power is cheap"" is a lie.","""The nuclear power plant is cheap."" That's a lie.","""Nuclear power plant is cheap"" lie",0.732626,0.64680165,0.08582437
