Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_orig,I'm hungry.,I'm hungry.,Hungry,0.99999964,0.18193632,0.8180633
colloq_orig,"Ah, I can only drink cold water or hot water.","Oh, I can only drink water or hot water.","Ah, I can only drink water or hot water",0.8838648,0.85268766,0.031177163
colloq_orig,I don't know...,I don't know.,I don't know ...,0.8037991,0.832912,0.029112935
colloq_orig,Looks delicious.,It's delicious.,Deliciousness,0.7633239,0.098124996,0.6651989
colloq_orig,I arrived in Italy.,We're in Italy.,I arrived at Italy,0.6880965,0.9088899,0.22079337
colloq_orig,I don't have a reason but I'm sad.,I don't have a reason.,"There is no reason, but",0.6853115,0.48413843,0.20117307
colloq_orig,I am tired.,I'm lost.,Cheated,0.6813741,0.07329453,0.60807955
colloq_orig,Girls who eat a lot are cute wow!,The girl who eats so much is cute. Wow.,The girl who eats a lot is cute,0.6716187,0.6985473,0.026928604
colloq_orig,It could hit somebody.,I'm going to hit someone.,I'm going to run,0.6455606,0.30297482,0.3425858
colloq_orig,"""I do not know if there was a direct conversation with Sagawa.""","""I don't know if there's a direct talk going on in the Sagawa.""","""I don't know if Sagawa is talking directly to Sagawa.""",0.6370964,0.7341566,0.0970602
