Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_orig,"Please make the default no narration, no sound effects, and no background music.",I'd like you to make a defo of Norense-BGM.,Nonarennea SE No BGM default,0.05578405,-0.099778146,0.15556219
abbrev_orig,"Social game ... thing..., ah... (guess)  Wrong  Is it Magical Karin?  Are you expecting something?","No, it's not... it's not... it's not... it's not... it's not... it's not... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just... it's just...","Soshage ... Oh, oh ...",-0.27468938,-0.095167615,0.17952177
abbrev_orig,[News Flash] Kitaro of the Graveyard's catgirl is getting an update  Time for another catgirl thread  (ﾊﾞﾊﾞﾊﾞﾊﾞ,It's going to be updated again!,[Breaking news] Gegege's Kitaro's cat girl is updated again!(Baba Baba,-0.22449623,-0.07850014,0.1459961
abbrev_orig,"Watch ""Kimi no Na wa"" on TV Asahi at 9:00 tonight.",I'll take a look at your name from 9:00 p.m. this evening.,"I'll do ""Your name.""",0.1187161,-0.048598263,0.16731437
abbrev_orig,"I yelled, “Aaaaaaahhhhh!!!!  I don’t want to go to work.... I am too depressed and I took a noon nap...” LLL says, “Let’s play Get Freedom.” I reply, “LLL?!” If you bully Anzu, you will get domestic violence in return.","""Oh, I don't want to go to work!","I'm ""Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhededededingsements ...It's been ...",0.21233545,-0.026158707,0.23849416
abbrev_orig,"Dressed in girl's clothes and doing anal masturbation, Kusashon returns home.",I'm going to dress up like a woman and I'm going to come home.,Anani transvestite is coming back,0.29093802,-0.021341931,0.31227994
abbrev_orig,If there was still Kochira Kameari Hashutsujo series going on,"If there's a bunch of turtles in the air,",If this turtle continues to be serialized,-0.028025521,-0.008133673,0.019891847
abbrev_orig,"This is, after all, Abe’s mass media.",That's why I'm here.,Abe -chan's official media,0.20506844,0.014460216,0.19060822
abbrev_orig,"Online right wingers ""It's working, it's working haha"".",It's working. It's working. It's working.,"Netouyo ""Working and working w""",0.4240525,0.041874062,0.38217846
abbrev_orig,I gave up and had to punch it in.,Let's just give it up and throw it in the pan.,Give up and crush it with a goupan,0.43249696,0.04802226,0.3844747
