Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_norm,Upper House Budget Committee.,The House of Representatives budget committee.,Upper House Budget Committee,0.76238805,0.9591713,0.19678324
abbrev_norm,"If you think about it, 10 years ago almost nobody had a smartphone, but now smartphones are a necessity in life.","And if you think about it, 10 years ago, almost no one had a smart phone.","If you think about it, 10 years ago, almost nobody had a smartphone, but now smartphones are a necessity.",0.66234535,0.9411484,0.27880305
abbrev_norm,The instant food commercial is pretty funny.,This instant food commercial is a lot of fun.,This instant food commercial is quite interesting,0.7881007,0.86859655,0.080495834
abbrev_norm,Perhaps there was no template.,Maybe you don't have a template.,Maybe there is no template,0.572988,0.8571368,0.2841488
abbrev_norm,I bought a PS4 and VR.,I bought Play Station 4 and VR.,I bought PlayStation 4 and VR,0.80092824,0.8524306,0.051502347
abbrev_norm,It would be interesting if Alibaba releases AI speakers.,It's going to be fun.,It would be interesting if Alibaba put out Artificial Intelligence speakers,0.29771978,0.8445144,0.54679465
abbrev_norm,This is clever stealth marketing.,"Well, that's a clever Strusts marketing thing.",This is a clever stealth marketing,0.4328293,0.815528,0.38269868
abbrev_norm,Online voting begins.,I'm starting to vote for the Internet.,Internet voting begins,0.28460616,0.7993475,0.51474136
abbrev_norm,That's a plain update though,It's a modest update.,It's a plain update,0.56236595,0.798496,0.23613006
abbrev_norm,"The official residence starts ""Instagram.""",The White House is open to Instagrams.,"The official residence opens ""Instagram""",0.32330036,0.79290015,0.46959978
